domain,miner_ip
2miners.com,104.26.4.192
51pool.online,95.217.197.180
ae.2miners.com,162.19.139.120
aeon.miner.rocks,188.165.198.144
aeon.minercountry.com,52.86.6.113
aergo.eu.mine.zpool.ca,188.165.24.209
aergo.jp.mine.zpool.ca,198.50.168.213
aergo.na.mine.zpool.ca,198.50.168.213
ahamay.net,91.134.179.251
aikapool.com,37.26.136.250
aionmine.org,144.76.40.59
aka.2miners.com,162.19.139.120
akroma.wattpool.net,192.99.244.230
allium.asia.mine.zergpool.com,51.79.251.11
allium.eu.mine.zpool.ca,188.165.24.209
allium.jp.mine.zpool.ca,198.50.168.213
allium.mine.zergpool.com,103.249.70.7
allium.na.mine.zpool.ca,198.50.168.213
americas.blake2s.mining-dutch.nl,192.95.53.36
americas.equihash.mining-dutch.nl,192.95.53.35
americas.groestl.mining-dutch.nl,192.95.53.36
americas.kawpow.mining-dutch.nl,192.95.53.34
americas.keccak.mining-dutch.nl,192.95.53.36
americas.lyra2rev2.mining-dutch.nl,192.95.53.36
americas.myrgro.mining-dutch.nl,192.95.53.36
americas.neoscrypt.mining-dutch.nl,192.95.53.36
americas.quark.mining-dutch.nl,192.95.53.36
americas.qubit.mining-dutch.nl,192.95.53.36
americas.scrypt.mining-dutch.nl,192.95.53.36
americas.sha256.mining-dutch.nl,192.95.53.36
americas.skein.mining-dutch.nl,192.95.53.36
americas.tribus.mining-dutch.nl,192.95.53.35
americas.x11.mining-dutch.nl,192.95.53.36
americas.x11gost.mining-dutch.nl,54.38.64.46
americas.yescrypt.mining-dutch.nl,192.95.53.35
americas.yescryptr16.mining-dutch.nl,192.95.53.35
americas.yescryptr32.mining-dutch.nl,192.95.53.35
americas.yespower.mining-dutch.nl,192.95.53.35
americas.yespowerr16.mining-dutch.nl,192.95.53.35
anon.2miners.com,162.19.139.181
anon.altpool.pro,54.36.51.140
ap-01.miningrigrentals.com,172.104.181.35
ap-nodes.mainnet.beam.mw,3.1.37.246
ap.luckpool.net,139.99.123.225
